instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,96.0
ins-40,False,92,300000
ins-1,True,8,0.0
ins-10,True,17,113.0
ins-11,True,18,708.0
ins-12,True,19,275.0
ins-13,True,20,274.0
ins-14,True,21,439.0
ins-15,True,22,717.0
ins-16,True,23,1411.0
ins-17,True,24,552.0
ins-18,True,25,814.0
ins-19,True,26,8272.0
ins-2,True,9,1.0
ins-20,True,27,13269.0
ins-21,True,28,89713.0
ins-22,True,29,165095.0
ins-23,True,30,51580.0
ins-25,False,33,300000
ins-26,True,33,11293.0
ins-27,True,34,6225.0
ins-28,True,35,67905.0
ins-29,True,36,4662.0
ins-3,True,10,1.0
ins-30,False,38,300000
ins-31,True,38,7912.0
ins-32,False,40,300000
ins-33,True,40,1788.0
ins-34,True,40,1241.0
ins-35,True,40,4786.0
ins-36,True,40,143.0
ins-37,False,61,300000
ins-38,True,60,29103.0
ins-39,False,61,300000
ins-4,True,11,2.0
ins-5,True,12,5.0
ins-6,True,13,16.0
ins-7,True,14,30.0
ins-8,True,15,11.0
ins-9,True,16,8.0
