instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,2901.0
ins-40,False,92,300000
ins-1,True,8,0.0
ins-10,True,17,223.0
ins-11,True,18,323.0
ins-12,True,19,266.0
ins-13,True,20,279.0
ins-14,True,21,167.0
ins-15,True,22,1154.0
ins-16,True,23,1293.0
ins-17,True,24,1754.0
ins-18,True,25,1494.0
ins-19,True,26,4867.0
ins-2,True,9,2.0
ins-20,True,27,5878.0
ins-21,True,28,22974.0
ins-22,True,29,97257.0
ins-23,True,30,349.0
ins-25,False,33,300000
ins-26,True,33,34646.0
ins-27,True,34,3904.0
ins-28,True,35,27180.0
ins-29,True,36,19466.0
ins-3,True,10,1.0
ins-30,False,38,300000
ins-31,True,38,736.0
ins-32,False,40,300000
ins-33,True,40,261.0
ins-34,True,40,2796.0
ins-35,True,40,2298.0
ins-36,True,40,2800.0
ins-37,False,61,300000
ins-38,False,61,300000
ins-39,False,61,300000
ins-4,True,11,6.0
ins-5,True,12,4.0
ins-6,True,13,13.0
ins-7,True,14,20.0
ins-8,True,15,22.0
ins-9,True,16,29.0
