instance,optimally_solved,board_height,elapsed_ms
ins-24,False,43,300000
ins-40,False,43,300000
ins-1,True,8,0.15100000000000002
ins-10,False,19,300000
ins-11,False,19,300000
ins-12,False,20,300000
ins-13,False,22,300000
ins-14,True,21,58807.0
ins-15,False,23,300000
ins-16,False,24,300000
ins-17,False,35,300000
ins-18,False,40,300000
ins-19,False,32,300000
ins-2,True,9,0.752
ins-20,False,30,300000
ins-21,False,30,300000
ins-22,False,32,300000
ins-23,False,46,300000
ins-25,False,46,300000
ins-26,False,46,300000
ins-27,False,46,300000
ins-28,False,52,300000
ins-29,False,54,300000
ins-3,True,10,3.6029999999999998
ins-30,False,10,300000
ins-31,False,39,300000
ins-32,False,60,300000
ins-33,False,60,300000
ins-34,True,40,290300.0
ins-35,False,42,300000
ins-36,False,41,300000
ins-37,False,66,300000
ins-38,False,66,300000
ins-39,False,62,300000
ins-4,True,11,88.152
ins-5,True,12,2.46
ins-6,True,13,16047.999000000002
ins-7,True,14,16018.699000000002
ins-8,True,15,18.253999999999998
ins-9,True,16,5.9319999999999995
