instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,56.0
ins-40,False,92,300000
ins-1,True,8,0.0
ins-10,True,17,10.0
ins-11,True,18,101.0
ins-12,True,19,113.0
ins-13,True,20,53.0
ins-14,True,21,28.0
ins-15,True,22,33.0
ins-16,True,23,2625.0
ins-17,True,24,210.0
ins-18,True,25,106.0
ins-19,True,26,1508.0
ins-2,True,9,1.0
ins-20,True,27,949.0
ins-21,True,28,1356.0
ins-22,True,29,17394.0
ins-23,True,30,255.0
ins-25,True,32,8551.0
ins-26,True,33,1538.0
ins-27,True,34,108.0
ins-28,True,35,394.0
ins-29,True,36,297.0
ins-3,True,10,0.0
ins-30,True,37,19675.0
ins-31,True,38,89.0
ins-32,True,39,10638.0
ins-33,True,40,218.0
ins-34,True,40,2091.0
ins-35,True,40,1026.0
ins-36,True,40,754.0
ins-37,True,60,50074.0
ins-38,True,60,154488.0
ins-39,True,60,46419.0
ins-4,True,11,1.0
ins-5,True,12,2.0
ins-6,True,13,2.0
ins-7,True,14,2.0
ins-8,True,15,5.0
ins-9,True,16,3.0
