instance,optimally_solved,board_height,elapsed_ms
ins-24,False,32,300000
ins-40,False,,300000
ins-1,True,8,0.982
ins-10,True,17,3.597
ins-11,False,19,300000
ins-12,True,19,100.87
ins-13,True,20,2705.6800000000003
ins-14,True,21,1403.41
ins-15,True,22,588.01
ins-16,False,24,300000
ins-17,True,24,26303.899999999998
ins-18,False,27,300000
ins-19,False,27,300000
ins-2,True,9,0.25
ins-20,False,28,300000
ins-21,False,29,300000
ins-22,False,30,300000
ins-23,True,30,69.122
ins-25,False,34,300000
ins-26,True,33,1194.1399999999999
ins-27,True,34,26.281
ins-28,False,36,300000
ins-29,False,50,300000
ins-3,True,10,0.174
ins-30,False,39,300000
ins-31,True,38,17462.399999999998
ins-32,False,,300000
ins-33,True,40,68.19200000000001
ins-34,False,44,300000
ins-35,False,,300000
ins-36,False,49,300000
ins-37,False,,300000
ins-38,False,72,300000
ins-39,False,74,300000
ins-4,True,11,0.9039999999999999
ins-5,True,12,1.142
ins-6,True,13,317.718
ins-7,True,14,1.785
ins-8,True,15,1.7550000000000001
ins-9,True,16,2.163
