instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,1672.0
ins-40,False,93,300000
ins-1,True,8,1.0
ins-10,True,17,52.0
ins-11,True,18,339.0
ins-12,True,19,660.0
ins-13,True,20,118.0
ins-14,True,21,303.0
ins-15,True,22,360.0
ins-16,True,23,4716.0
ins-17,True,24,2352.0
ins-18,True,25,561.0
ins-19,True,26,7124.0
ins-2,True,9,3.0
ins-20,True,27,1478.0
ins-21,True,28,7015.0
ins-22,True,29,67996.0
ins-23,True,30,5026.0
ins-25,True,32,45911.0
ins-26,True,33,5192.0
ins-27,True,34,6227.0
ins-28,True,35,977.0
ins-29,True,36,32343.000000000004
ins-3,True,10,1.0
ins-30,True,37,109077.0
ins-31,True,38,1059.0
ins-32,False,40,300000
ins-33,True,40,5665.0
ins-34,True,40,8007.999
ins-35,True,40,1748.0
ins-36,True,40,347.0
ins-37,True,60,273168.0
ins-38,False,61,300000
ins-39,True,60,59651.0
ins-4,True,11,3.0
ins-5,True,12,18.0
ins-6,True,13,14.0
ins-7,True,14,15.0
ins-8,True,15,24.0
ins-9,True,16,19.0
