instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,7258.0
ins-1,True,8,32.0
ins-10,True,17,254.0
ins-11,True,18,725.0
ins-12,True,19,385.0
ins-13,True,20,530.0
ins-14,True,21,916.0
ins-15,True,22,1285.0
ins-16,True,23,3509.0
ins-17,True,24,1805.0
ins-18,True,25,3301.0
ins-19,True,26,8758.0
ins-2,True,9,36.0
ins-20,True,27,3071.0
ins-21,True,28,7669.0
ins-22,True,29,11000.0
ins-23,True,30,7669.0
ins-25,True,32,15803.0
ins-26,True,33,14111.0
ins-27,True,34,10936.0
ins-28,True,35,25518.0
ins-29,True,36,13510.0
ins-3,True,10,43.0
ins-30,True,37,51485.0
ins-31,True,38,8251.0
ins-32,True,39,62807.0
ins-33,True,40,27133.0
ins-34,True,40,14388.0
ins-35,True,40,8164.0
ins-36,True,40,8875.0
ins-37,False,,300000
ins-38,False,,300000
ins-39,False,,300000
ins-4,True,11,83.0
ins-5,True,12,90.0
ins-6,True,13,122.0
ins-7,True,14,128.0
ins-8,True,15,138.0
ins-9,True,16,191.0
ins-40,False,,300000
