instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,6898.0
ins-1,True,8,43.0
ins-10,True,17,271.0
ins-11,True,18,664.0
ins-12,True,19,395.0
ins-13,True,20,435.0
ins-14,True,21,705.0
ins-15,True,22,864.0
ins-16,True,23,1190.0
ins-17,True,24,1769.0
ins-18,True,25,1146.0
ins-19,True,26,1820.0
ins-2,True,9,49.0
ins-20,True,27,2349.0
ins-21,True,28,4376.0
ins-22,True,29,5689.0
ins-23,True,30,7286.0
ins-25,True,32,8973.0
ins-26,True,33,23276.0
ins-27,True,34,6496.0
ins-28,True,35,34948.0
ins-29,True,36,41772.0
ins-3,True,10,58.0
ins-30,True,37,106087.0
ins-31,True,38,10284.0
ins-32,True,39,168338.0
ins-33,True,40,14227.0
ins-34,True,40,55244.0
ins-35,True,40,34370.0
ins-36,True,40,1835.0
ins-37,False,,300000
ins-38,False,,300000
ins-39,False,,300000
ins-4,True,11,74.0
ins-5,True,12,70.0
ins-6,True,13,97.0
ins-7,True,14,103.0
ins-8,True,15,130.0
ins-9,True,16,170.0
ins-40,False,,300000
