instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,74251.0
ins-1,True,8,46.0
ins-10,True,17,641.0
ins-11,True,18,841.0
ins-12,True,19,1225.0
ins-13,True,20,1542.0
ins-14,True,21,2887.0
ins-15,True,22,3529.0
ins-16,True,23,4301.0
ins-17,True,24,7664.0
ins-18,True,25,15555.0
ins-19,True,26,27372.0
ins-2,True,9,57.0
ins-20,True,27,30645.0
ins-21,True,28,55847.0
ins-22,True,29,194988.0
ins-23,True,30,29852.0
ins-25,True,32,80564.0
ins-26,True,33,151932.0
ins-27,True,34,148201.0
ins-28,True,35,136191.0
ins-29,True,36,43806.0
ins-3,True,10,71.0
ins-30,False,,300000
ins-31,True,38,47102.0
ins-32,False,,300000
ins-33,True,40,147882.0
