instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,7224.0
ins-1,True,8,22.0
ins-10,True,17,41.0
ins-11,True,18,122.0
ins-12,True,19,63.0
ins-13,True,20,1096.0
ins-14,True,21,1711.0
ins-15,True,22,2530.0
ins-16,True,23,12520.0
ins-17,True,24,3934.0
ins-18,True,25,3117.0
ins-19,True,26,15558.0
ins-2,True,9,47.0
ins-20,True,27,53405.0
ins-21,True,28,123238.0
ins-22,True,29,183949.0
ins-23,True,30,14845.0
ins-25,False,33,300201.0
ins-26,True,33,33461.0
ins-27,True,34,8638.0
ins-28,True,35,22739.0
ins-29,True,36,239899.0
ins-3,True,10,25.0
ins-30,False,39,300130.0
ins-31,True,38,5515.0
ins-32,False,41,300148.0
ins-33,True,40,5285.0
ins-34,True,40,262474.0
ins-35,False,41,300155.0
ins-36,True,40,21627.0
ins-37,False,62,300150.0
ins-38,False,62,300155.0
ins-39,False,62,300185.0
ins-4,True,11,25.0
ins-5,True,12,49.0
ins-6,True,13,32.0
ins-7,True,14,57.0
ins-8,True,15,91.0
ins-9,True,16,19.0
ins-40,False,,300000
