instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,6886.0
ins-1,True,8,27.0
ins-10,True,17,352.0
ins-11,True,18,3344.0
ins-12,True,19,1161.0
ins-13,True,20,1857.0
ins-14,True,21,4058.0
ins-15,True,22,4522.0
ins-16,True,23,82737.0
ins-17,True,24,6552.0
ins-18,True,25,188636.0
ins-19,True,27,300193.0
ins-2,True,9,44.0
ins-20,True,28,300132.0
ins-21,True,28,86543.0
ins-22,True,30,300109.0
ins-23,True,30,216328.0
ins-25,True,34,300197.0
ins-26,True,34,300157.0
ins-27,True,35,300080.0
ins-28,True,36,300131.0
