instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,2961.0
ins-1,True,8,34.0
ins-10,True,17,118.0
ins-11,True,18,135.0
ins-12,True,19,3146.0
ins-13,True,20,1186.0
ins-14,True,21,422.0
ins-15,True,22,621.0
ins-16,True,23,221220.0
ins-17,True,24,5394.0
ins-18,True,25,2114.0
ins-19,True,26,216206.0
ins-2,True,9,36.0
ins-20,True,27,21738.0
ins-21,False,29,300163.0
ins-22,True,29,29213.0
ins-23,True,30,30424.0
ins-25,False,33,300198.0
ins-26,False,34,300149.0
ins-27,True,34,20681.0
ins-28,True,35,223742.0
ins-29,True,36,96602.0
ins-3,True,10,24.0
ins-30,False,38,300202.0
ins-31,True,38,1634.0
ins-32,False,41,300161.0
ins-33,True,40,12899.0
ins-34,True,40,190994.0
ins-35,True,40,35593.0
ins-36,True,40,7385.0
ins-37,False,62,300148.0
ins-38,False,62,300226.0
ins-39,False,62,300152.0
ins-4,True,11,39.0
ins-5,True,12,42.0
ins-6,True,13,53.0
ins-7,True,14,79.0
ins-8,True,15,32.0
ins-9,True,16,103.0
ins-40,False,101,300364.0
