instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,18350.0
ins-1,True,8,34.0
ins-10,True,17,437.0
ins-11,True,18,1350.0
ins-12,True,19,1948.0
ins-13,True,20,1946.0
ins-14,True,21,1869.0
ins-15,True,22,872.0
ins-16,True,23,9509.0
ins-17,True,24,9154.0
ins-18,True,25,69714.0
ins-19,False,27,300178.0
ins-2,True,9,24.0
ins-20,True,27,186436.0
ins-21,False,29,300140.0
ins-22,True,29,288284.0
ins-23,True,30,42434.0
ins-25,False,33,300162.0
ins-26,True,33,25421.0
ins-27,False,35,300199.0
ins-28,True,35,296069.0
ins-29,True,36,16652.0
ins-3,True,10,36.0
ins-30,False,38,300134.0
ins-31,True,38,2030.0
ins-32,False,41,300172.0
ins-33,True,40,97686.0
ins-34,False,41,300186.0
ins-35,False,41,300189.0
ins-36,True,40,117298.0
ins-37,False,62,300169.0
ins-38,False,61,300168.0
ins-39,False,61,300184.0
ins-4,True,11,35.0
ins-5,True,12,46.0
ins-6,True,13,95.0
ins-7,True,14,40.0
ins-8,True,15,43.0
ins-9,True,16,385.0
ins-40,False,101,300361.0
