instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,16903.0
ins-1,True,8,23.0
ins-10,True,17,619.0
ins-11,True,18,256.0
ins-12,True,19,1933.0
ins-13,True,20,557.0
ins-14,True,21,2087.0
ins-15,True,22,18265.0
ins-16,True,23,9945.0
ins-17,True,24,7140.0
ins-18,True,25,196061.0
ins-19,True,26,192734.0
ins-2,True,9,40.0
ins-20,False,28,300239.0
ins-21,False,29,300180.0
ins-22,False,30,300220.0
ins-23,True,30,131418.0
ins-25,False,33,300239.0
ins-26,True,33,221278.0
ins-27,True,34,51793.0
ins-28,True,35,70423.0
ins-29,True,36,16595.0
ins-3,True,10,39.0
ins-30,False,38,300167.0
ins-31,True,38,3949.0
ins-32,False,40,300199.0
ins-33,True,40,14311.0
ins-34,False,41,300181.0
ins-35,True,40,43478.0
ins-36,False,41,300198.0
ins-37,False,61,300202.0
ins-38,False,61,300183.0
ins-39,False,61,300146.0
ins-4,True,11,102.0
ins-5,True,12,257.0
ins-6,True,13,50.0
ins-7,True,14,131.0
ins-8,True,15,84.0
ins-9,True,16,90.0
ins-40,False,,300000
