instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,16952.0
ins-1,True,8,23.0
ins-10,True,17,611.0
ins-11,True,18,265.0
ins-12,True,19,1931.0
ins-13,True,20,569.0
ins-14,True,21,2030.0
ins-15,True,22,18337.0
ins-16,True,23,10101.0
ins-17,True,24,7116.0
ins-18,True,25,198960.0
ins-19,True,26,193805.0
ins-2,True,9,27.0
ins-20,False,28,300216.0
ins-21,False,29,300178.0
ins-22,False,30,300233.0
ins-23,True,30,131745.0
ins-25,False,33,300240.0
ins-26,True,33,221096.0
ins-27,True,34,51683.0
ins-28,True,35,70045.0
ins-29,True,36,16510.0
ins-3,True,10,41.0
ins-30,False,38,300136.0
ins-31,True,38,3812.0
ins-32,False,40,300209.0
ins-33,True,40,14768.0
ins-34,False,41,300184.0
ins-35,True,40,43186.0
ins-36,False,41,300249.0
ins-37,False,61,300210.0
ins-38,False,61,300187.0
ins-39,False,61,300228.0
ins-4,True,11,46.0
ins-5,True,12,228.0
ins-6,True,13,37.0
ins-7,True,14,147.0
ins-8,True,15,71.0
ins-9,True,16,88.0
ins-40,False,,300000
