instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,418.0
ins-1,True,8,2.0
ins-10,True,17,18.0
ins-11,True,18,1075.0
ins-12,True,19,151.0
ins-13,True,20,32.0
ins-14,True,21,103.0
ins-15,True,22,128.0
ins-16,True,23,460.0
ins-17,True,24,399.0
ins-18,True,25,274.0
ins-19,True,26,9282.0
ins-2,True,9,4.0
ins-20,True,27,4131.0
ins-21,True,28,11920.0
ins-22,True,29,12311.0
ins-23,True,30,1539.0
ins-25,True,32,95057.0
ins-26,True,33,4516.0
ins-27,True,34,1310.0
ins-28,True,35,2661.0
ins-29,True,36,2602.0
ins-3,True,10,3.0
ins-30,False,38,303184.0
ins-31,True,38,365.0
ins-32,False,40,310361.0
ins-33,True,40,465.0
ins-34,True,40,15108.0
ins-35,True,40,8372.0
ins-36,True,40,494.0
ins-37,True,60,146694.0
ins-38,False,62,300899.0
ins-39,True,60,25047.0
ins-4,True,11,5.0
ins-5,True,12,7.0
ins-6,True,13,10.0
ins-7,True,14,13.0
ins-8,True,15,18.0
ins-9,True,16,15.0
ins-40,False,96,306258.0
