instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,136.0
ins-1,True,8,2.0
ins-10,True,17,20.0
ins-11,True,18,916.0
ins-12,True,19,66.0
ins-13,True,20,60.0
ins-14,True,21,173.0
ins-15,True,22,91.0
ins-16,True,23,12360.0
ins-17,True,24,304.0
ins-18,True,25,586.0
ins-19,True,26,1630.0
ins-2,True,9,4.0
ins-20,True,27,2986.0
ins-21,True,28,1592.0
ins-22,True,29,90354.0
ins-23,True,30,1673.0
ins-25,True,32,191461.0
ins-26,True,33,2412.0
ins-27,True,34,359.0
ins-28,True,35,1621.0
ins-29,True,36,4479.0
ins-3,True,10,3.0
ins-30,True,37,27636.0
ins-31,True,38,1166.0
ins-32,False,40,306039.0
ins-33,True,40,537.0
ins-34,True,40,17085.0
ins-35,True,40,9563.0
ins-36,True,40,908.0
ins-37,True,60,202003.0
ins-38,False,62,301345.0
ins-39,True,60,79599.0
ins-4,True,11,5.0
ins-5,True,12,11.0
ins-6,True,13,13.0
ins-7,True,14,11.0
ins-8,True,15,21.0
ins-9,True,16,20.0
ins-40,False,92,541628.0
