instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,2826.0
ins-1,True,8,4.0
ins-10,True,17,223.0
ins-11,True,18,6550.0
ins-12,True,19,1265.0
ins-13,True,20,277.0
ins-14,True,21,1204.0
ins-15,True,22,902.0
ins-16,True,23,42143.0
ins-17,True,24,9179.0
ins-18,True,25,15707.0
ins-19,False,27,305717.0
ins-2,True,9,15.0
ins-20,True,27,22273.0
ins-21,False,30,300457.0
ins-22,True,29,253439.0
ins-23,True,30,52421.0
ins-25,False,33,337501.0
ins-26,True,33,240380.0
ins-27,True,34,17106.0
ins-28,True,35,44003.0
ins-29,True,36,251561.0
ins-3,True,10,8.0
ins-30,False,41,300977.0
ins-31,True,38,25043.0
ins-32,False,43,301359.0
ins-33,True,40,9731.0
ins-34,False,41,312258.0
ins-35,True,40,64239.0
ins-36,True,40,51268.0
ins-37,False,64,302960.0
ins-38,False,62,302540.0
ins-39,False,61,371531.0
ins-4,True,11,16.0
ins-5,True,12,62.0
ins-6,True,13,42.0
ins-7,True,14,59.0
ins-8,True,15,103.0
ins-9,True,16,58.0
ins-40,False,,300000
