instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,998.0
ins-1,True,8,6.0
ins-10,True,17,236.0
ins-11,True,18,21225.0
ins-12,True,19,4084.0
ins-13,True,20,361.0
ins-14,True,21,3875.0
ins-15,True,22,672.0
ins-16,True,23,92910.0
ins-17,True,24,11712.0
ins-18,True,25,32288.0
ins-19,True,26,176832.0
ins-2,True,9,14.0
ins-20,True,27,171633.0
ins-21,False,30,300924.0
ins-22,False,30,332451.0
ins-23,True,30,19594.0
ins-25,False,33,344129.0
ins-26,True,33,197785.0
ins-27,True,34,55670.0
ins-28,True,35,239742.0
ins-29,True,36,51045.0
ins-3,True,10,9.0
ins-30,False,41,301172.0
ins-31,True,38,37524.0
ins-32,False,43,302336.0
ins-33,True,40,13830.0
ins-34,False,41,313962.0
ins-35,True,40,155063.0
ins-36,True,40,102952.0
ins-37,False,64,302680.0
ins-38,False,62,338177.0
ins-39,False,61,384946.0
ins-4,True,11,22.0
ins-5,True,12,61.0
ins-6,True,13,35.0
ins-7,True,14,35.0
ins-8,True,15,74.0
ins-9,True,16,83.0
ins-40,False,,300000
