instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,23386
ins-1,True,8,133
ins-10,True,17,2607
ins-11,True,18,9663
ins-12,True,19,5045
ins-13,True,20,4216
ins-14,True,21,6172
ins-15,True,22,6737
ins-16,True,23,48704
ins-17,True,24,15122
ins-18,True,25,13036
ins-19,True,26,191884
ins-2,True,9,238
ins-20,True,27,38979
ins-21,True,28,83393
ins-22,False,30,300000
ins-23,True,30,37379
ins-25,False,33,300000
ins-26,True,33,64184
ins-27,True,34,46741
ins-28,True,35,67003
ins-29,True,36,75564
ins-3,True,10,251
ins-30,False,38,300000
ins-31,True,38,42662
ins-32,False,43,300000
ins-33,True,40,47634
ins-34,False,41,300000
ins-35,True,40,137687
ins-36,True,40,243500
ins-37,False,64,300000
ins-38,False,62,300000
ins-39,False,61,300000
ins-4,True,11,517
ins-5,True,12,884
ins-6,True,13,876
ins-7,True,14,974
ins-8,True,15,1114
ins-9,True,16,1492
ins-40,False,,300000
