instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,3540
ins-1,True,8,12
ins-10,True,17,228
ins-11,True,18,9697
ins-12,True,19,417
ins-13,True,20,601
ins-14,True,21,2465
ins-15,True,22,712
ins-16,True,23,9869
ins-17,True,24,3147
ins-18,True,25,1951
ins-19,True,26,37276
ins-2,True,9,25
ins-20,True,27,15971
ins-21,True,28,67731
ins-22,True,29,104420
ins-23,True,30,7906
ins-25,True,32,110304
ins-26,True,33,7224
ins-27,True,34,10756
ins-28,True,35,14212
ins-29,True,36,32635
ins-3,True,10,24
ins-30,False,38,300000
ins-31,True,38,6073
ins-32,False,43,300000
ins-33,True,40,9145
ins-34,False,41,300000
ins-35,True,40,66868
ins-36,True,40,20190
ins-37,False,64,300000
ins-38,False,62,300000
ins-39,False,61,300000
ins-4,True,11,40
ins-5,True,12,88
ins-6,True,13,116
ins-7,True,14,75
ins-8,True,15,178
ins-9,True,16,248
ins-40,False,,300000
