instance,optimally_solved,board_height,elapsed_ms
ins-24,True,31,66159
ins-1,True,8,19
ins-10,True,17,808
ins-11,True,18,3492
ins-12,True,19,10864
ins-13,True,20,5225
ins-14,True,21,8790
ins-15,True,22,187233
ins-16,True,23,46721
ins-17,True,24,199157
ins-18,False,26,300000
ins-19,False,27,300000
ins-2,True,9,39
ins-20,True,27,257253
ins-21,False,30,300000
ins-22,False,30,300000
ins-23,False,31,300000
ins-25,False,33,300000
ins-26,False,34,300000
ins-27,False,35,300000
ins-28,False,36,300000
ins-29,False,37,300000
ins-3,True,10,38
ins-30,False,38,300000
ins-31,True,38,98193
ins-32,False,40,300000
ins-33,True,40,125899
ins-34,True,40,98238
ins-35,True,40,67947
ins-36,True,40,52169
ins-37,False,61,300000
ins-38,False,62,300000
ins-39,False,61,300000
ins-4,True,11,111
ins-5,True,12,819
ins-6,True,13,657
ins-7,True,14,1189
ins-8,True,15,270
ins-9,True,16,1084
ins-40,False,,300000
