instance,optimally_solved,board_height,elapsed_ms
ins-1,True,8,0.0
ins-10,True,17,5.0
ins-11,True,18,253.0
ins-12,True,19,135.0
ins-13,True,20,13.0
ins-14,True,21,49.0
ins-15,True,22,24.0
ins-16,True,23,63.0
ins-17,True,24,84.0
ins-18,True,25,4099.0
ins-19,True,26,2512.0
ins-2,True,9,1.0
ins-20,True,27,138.0
ins-21,True,28,329.0
ins-22,True,29,6784.0
ins-23,True,30,288.0
ins-24,True,31,53.0
ins-25,True,32,13857.0
ins-26,True,33,3052.0
ins-27,True,34,1801.0
ins-28,True,35,74.0
ins-29,True,36,286.0
ins-3,True,10,1.0
ins-30,True,37,165560.0
ins-31,True,38,85.0
ins-32,True,39,11256.0
ins-33,True,40,49.0
ins-34,True,40,1044.999
ins-35,True,40,159.0
ins-36,True,40,4237.0
ins-37,True,60,49899.0
ins-38,True,60,77896.0
ins-39,True,60,19272.0
ins-4,True,11,0.0
ins-40,False,91,300000
ins-5,True,12,1.0
ins-6,True,13,1.0
ins-7,True,14,2.0
ins-8,True,15,3.0
ins-9,True,16,11.0
